,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
451,CHEMBL3403819,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C6CN(CCOC)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,inactive,717.0449999999998,5.349900000000006,2.0,9.0,7.167491087293763
452,CHEMBL3403820,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C6CN(CC(C)(C)O)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,inactive,731.0719999999998,5.474400000000006,3.0,9.0,6.920818753952375
453,CHEMBL3403822,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(CC6CN(C(C)C)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,inactive,715.0729999999999,6.359500000000008,2.0,8.0,6.958607314841775
454,CHEMBL3403823,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(CC6CN(C7CCC7)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,intermediate,727.0839999999998,6.503600000000008,2.0,8.0,6.6777807052660805
455,CHEMBL3403824,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(CC6CN(C7COC7)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,intermediate,729.0559999999998,5.349900000000007,2.0,9.0,6.769551078621726
456,CHEMBL3403825,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(CC6CN(CCOC)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,inactive,731.0719999999998,5.597500000000007,2.0,9.0,7.0655015487564325
457,CHEMBL3403826,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(CC6CN(CC(C)(C)O)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,inactive,745.0989999999997,5.722000000000007,3.0,9.0,7.0655015487564325
458,CHEMBL3403827,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(CC6CN(CCO)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,inactive,717.0449999999998,4.943400000000007,3.0,9.0,6.920818753952375
459,CHEMBL3403816,CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C6CN(C(C)C)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,inactive,701.0459999999998,6.111900000000007,2.0,8.0,6.958607314841775
460,CHEMBL576840,O=C(Cc1ccccc1)NC(CSSCC(NC(=O)Cc1ccccc1)C(=O)O)C(=O)O,inactive,476.5760000000002,1.9920000000000002,4.0,6.0,5.709965388637482
461,CHEMBL3400292,CNc1ccc(C(=O)NC(CCCCCNC(=O)OCc2ccccc2)C(=O)O)cc1,inactive,427.5010000000001,3.398100000000002,4.0,5.0,5.560667306169737
462,CHEMBL297453,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,inactive,458.37500000000017,2.233199999999999,8.0,11.0,6.301029995663981
463,CHEMBL3582126,C[C@]1(O)c2ccc3c(c2C(=O)c2occ([C@@H](O)CCO)c21)CCC3=O,inactive,342.34700000000015,1.6245,3.0,6.0,4.018181392829336
464,CHEMBL3582127,C[C@]1(O)c2ccc3c(c2C(=O)c2occ(CCCO)c21)CCC3=O,inactive,326.34800000000007,2.1336000000000004,2.0,5.0,4.552841968657781
465,CHEMBL3582128,C[C@]1(O)c2ccc3c(c2C(=O)c2occ(CCO)c21)CCC3=O,intermediate,312.3210000000001,1.7435000000000003,2.0,5.0,4.464705879957229
466,CHEMBL3582129,C[C@@]1(O)c2ccc3c(c2C(=O)c2occ([C@@H](O)CCO)c21)CCC3=O,intermediate,342.34700000000015,1.6245,3.0,6.0,4.1432711096171175
467,CHEMBL3582130,C[C@@]12c3ccc4c(c3C(=O)c3occ(c31)[C@@H](O)C[C@@H]2O)CCC4=O,intermediate,324.3320000000001,2.0569,2.0,5.0,4.995678626217358
468,CHEMBL3582132,C[C@]12CCC(=O)c3coc(c31)C(=O)C1=C2[C@@H](O)C[C@]2(C)C(=O)CC[C@@H]12,inactive,340.3750000000001,2.7567000000000013,1.0,5.0,5.920818753952375
469,CHEMBL3582133,C[C@@]12C(=O)CC[C@H]1C1=C(C[C@H]2O)[C@@]2(C)CC[C@H](O)c3coc(c32)C1=O,inactive,342.39100000000013,2.607400000000001,2.0,5.0,4.361510743045363
470,CHEMBL549959,C[C@@]12c3ccc4c(c3C(=O)c3occ(c31)C(=O)C[C@H]2O)CCC4=O,inactive,322.3160000000001,2.2062,1.0,5.0,4.872895201635193
471,CHEMBL231160,CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2ccccc2OC)=CC1=O)Cc1ccccc1OC,intermediate,632.8900000000003,6.2674000000000065,2.0,8.0,5.226945306635737
472,CHEMBL3087676,O=C(Cc1ccccc1Nc1c(Cl)cccc1Cl)NCCCNCCCNC1=CC(=O)C(NCCCNCCCNC(=O)Cc2ccccc2Nc2c(Cl)cccc2Cl)=CC1=O,intermediate,922.7859999999997,7.643400000000007,8.0,10.0,5.507239610973162
473,CHEMBL3087674,CC(C)Cc1ccc(C(C)C(=O)NCCCNCCCNC2=CC(=O)C(NCCCNCCCNC(=O)C(C)c3ccc(CC(C)C)cc3)=CC2=O)cc1,inactive,743.0500000000002,5.061600000000009,6.0,8.0,5.316052869248487
474,CHEMBL3593276,CCN1/C(=C/C=C/c2sc3ccc(OCCCO[N+](=O)[O-])cc3[n+]2CC)Sc2ccc(OCCCO[N+](=O)[O-])cc21.O=S(=O)([O-])C(F)(F)F,intermediate,752.7680000000004,5.701300000000007,0.0,14.0,4.585026652029182
475,CHEMBL3593277,CCN1/C(=C/C=C/c2sc3ccc(OCc4no[n+]([O-])c4C(N)=O)cc3[n+]2CC)Sc2ccc(OCc3no[n+]([O-])c3C(N)=O)cc21.O=S(=O)([O-])C(F)(F)F,inactive,828.7860000000002,2.3454999999999995,2.0,16.0,4.769551078621726
476,CHEMBL3593280,CCN1/C(=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccc(OCc3no[n+]([O-])c3C(N)=O)cc21.[I-],inactive,649.5360000000003,0.9987999999999999,1.0,8.0,4.585026652029182
477,CHEMBL81782,CCN1/C(=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21.[I-],inactive,492.451,2.6995000000000013,0.0,3.0,5.481486060122113
478,CHEMBL3593278,CCN1/C(=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccc(OCCCO[N+](=O)[O-])cc21.[I-],inactive,611.5270000000003,2.676700000000001,0.0,7.0,5.113509274827518
479,CHEMBL3593279,CCN1/C(=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccc(Oc3no[n+]([O-])c3-c3ccccc3)cc21.[I-],inactive,668.5820000000002,3.7802000000000033,0.0,7.0,5.795880017344075
480,CHEMBL3593282,CCCOc1ccc2c(c1)N(CC)/C(=C/C=C/c1sc3ccccc3[n+]1CC)S2.[I-],inactive,550.5310000000002,3.4883000000000024,0.0,4.0,6.096910013008056
